V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
469 497 257 384 397 202 368 489 592 585
407 209 233 405 299 543 543 388 271 492
425 427 376 551 525 582 408 470 329 364
454 357 490 400 261 377 339 560 213 439
466 303 496 591 589 419 441 294 326 558
218 230 255 230 444 514 560 223 385 451
311 521 458 536 432 223 555 511 599 591
409 428 206 337 424 476 388 309 288 560
270 578 498 237 276 336 262 323 458 452
287 443 270 449 227 413 352 493 486 330
598 403 265 273 210 560 578 582 465 304
255 372 212 229 568 350 344 404 589 214
230 253 202 258 202 246 466 253 323 540
344 342 405 380 221 590 208 239 444 426
417 451 467 507 520 497 463 478 485 546
408 554 600 347 552 350 586 461 564 595
219 303 552 338 524 549 419 513 222 234
569 332 448 360 449 407 548 333 553 386
595 290 385 506 459 577 208 449 540 536
241 452 219 568 525 448 284 533 587 512
