V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
20453 38445 42613 24145 22243 36845 19159 34081 40667 43813 30148 12481 46422 19733 10303 49281 10558 10211 19995 36569 19991 43076 41317
19059 39173 22347 44383 35073 41956 18862 48750 31836 20593 26275 29655 17332 11558 48401 46928 17050 37487 42844 22246 18798 33274 20766
22181 12161 39788 42923 25055 13891 32772 20092 35034 37301 26576 30131 12549 39350 45527 26008 35868 43211 30212 24732 16504 40643 37519
16656 19824 39712 26010 11490 16989 29098 31535 42091 31617 12020 18550 14078 35709 25042 22887 34898 11666 30923 30054 22778 48020 23546
20921 19119 21752 37388 10964 49290 29941 19708 42033 27938 44330 16099 10458 13245 16144 27938 33886 48541 41475 38350 36989 26483 37129
30636 22112 24677 35567 43043 15194 32212 34877 44767 21581 46186 19725 34176 32086 21261 19638 22965 22159 49760 46142 40477 21394 31519
10938 25927 34233 12318 33829 16856 37842 40337 37620 31921 41925 41394 39600 38288 10932 16825 34791 46927 24639 35927 19745 17824 41342
14718 22773 23724 21748 36544 38731 49025 47850 34670 23092 22900 19479 37387 31470 29684 39401 15943 49716 35663 33116 10028 27420 44503
41156 16786 35049 17725 33770 35384 38755 46246 33305 15278 30692 34394 35384 36927 29808 10520 38681 14940 27465 42836 47204 43577 25028
42163 17329 23790 35337 12925 26429 12528 14962 14530 26184 29696 27105 20974 39780 40769 11848 30259 14229 12112 13191 19282 41403 41865
40394 17464 31123 28750 13786 21461 38592 24058 11295 42418 39062 14462 31915 33061 34712 39696 29129 15930 35439 43531 34145 12531 21232
30697 20441 32418 37763 17562 35130 42811 43915 15041 14266 16563 49373 12186 12909 14777 13567 47033 14744 17043 39107 48611 30862 49225
28844 42047 48549 19245 10901 36307 31047 22505 20334 40321 36341 44590 43955 30744 44283 47863 11073 17888 22979 28125 20565 43921 18168
35727 15947 27711 22134 44210 48222 37121 34706 44842 46914 35524 27870 46927 32285 25433 20222 22978 47067 33358 27162 30090 37830 28564
42268 15532 17617 22240 26249 43145 21205 25275 25736 22873 34622 15485 11427 44601 14660 24143 19217 23828 12333 19988 21937 37319 12331
10897 31854 36532 44107 15611 19037 33293 29504 49693 10018 41174 12519 16633 23958 23497 25065 47422 40106 49073 14643 21152 18611 11592
24687 45773 21105 26020 30122 28626 11100 14976 44209 20885 36774 38017 21668 34766 31845 21173 31807 21792 31582 32034 22427 15963 27081
28144 38746 48157 10353 40396 17232 25405 39369 46154 37577 48419 41031 28457 40362 21522 29713 20828 16100 11254 10395 25354 42527 33235
10912 49225 37502 29636 36908 46259 28220 23059 19253 39754 25112 32185 17919 41717 26271 39577 44192 32917 15423 25842 14133 37828 17053
30355 17109 11276 39592 27910 33328 21650 16693 28488 43922 46873 33218 27311 18433 17664 41582 48309 38617 27577 41157 17467 25715 14421
