V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
3962 2999 3399 4955 4405 5462 2389 2309 5669 4557 4665 2987 5496 4286 5194 5851 2383 1384 3611 4842 3671 5719 4191
1909 1171 2523 2254 5036 1816 3707 1186 2273 5139 3622 5446 3762 4778 4856 3480 3807 4556 3719 2936 5859 4987 3130
3785 3379 1762 4691 4764 4937 2170 3048 5156 1719 3766 2471 5694 4156 1001 2241 2971 3855 2930 4187 2168 2392 5481
3067 1941 3657 3301 1315 5362 5045 1665 2892 4176 4478 1537 4595 5484 4540 5870 3515 5491 2669 5713 1843 2143 5665
3642 1671 2244 5559 2358 3383 3327 5469 2893 2621 4218 5764 4378 1764 5120 2137 5913 4412 3725 4357 1606 3675 1431
3865 2303 2838 3904 4863 3544 5942 3227 4492 1420 3161 1292 3983 3137 5486 3836 5695 4633 2803 4771 1039 4377 5799
4962 5404 2895 2488 5130 2122 5097 3064 4346 1354 1190 5079 4609 1596 3596 4870 1035 3699 4314 3018 2883 1107 1344
1444 3633 4696 4768 2884 3712 4243 4934 1416 3805 4614 1140 5751 2055 2333 5669 4995 1949 1427 4597 3547 5086 5065
2064 5041 1041 2678 5430 5351 1820 3876 5807 1245 4052 3746 4688 4549 4861 3026 5132 2554 4049 1084 5117 4402 2519
3087 4801 2362 2305 3538 3960 5494 1100 4471 3467 4721 1644 1853 2912 4545 3082 1637 4730 1668 5343 3913 1733 3211
3025 1636 3900 1423 5751 4825 4471 1606 1324 5368 4164 1437 1650 4480 2983 4796 5751 2923 4166 2091 3195 4697 3602
3153 5039 5446 3122 5756 1947 5689 2032 5530 5077 3909 3489 4284 4005 1470 3412 3813 4990 1291 4395 2053 1721 4291
3868 3636 5353 3297 1792 3163 3908 4403 1338 2694 3858 3273 3952 2377 5971 4858 4331 1687 4432 2856 2606 5250 4183
1314 2092 2077 5134 3922 4108 3387 4749 3829 3627 3010 2790 1109 1460 1396 4734 1145 3195 1189 3547 3233 4506 5867
1978 3346 5344 1134 3958 5904 2498 5788 4900 4922 2118 4773 1266 4915 5244 5264 3236 2575 1945 1128 5165 1977 4930
5519 2680 5471 3365 1046 1721 2828 2979 2609 4117 1958 5070 4575 5531 5647 2685 2766 4955 3379 2427 1470 3123 2614
5794 3101 5021 2736 3153 3210 3362 2775 1990 1991 1344 3456 2347 2341 3493 5057 5019 5681 4520 2356 3165 3641 2616
4293 4996 5673 1459 5979 4222 4234 3989 3381 5365 2867 3173 5462 1438 3059 1633 3703 1457 3516 5771 1012 3439 4249
4638 5384 1224 5898 1385 4383 1466 5716 1787 4602 4800 4553 1406 3657 5271 3983 4658 1828 3780 1991 2441 3575 3288
1562 1916 4178 4264 2325 1935 5757 5369 1727 4240 1767 1560 3354 5908 4164 5437 2693 2657 1707 2994 3956 5493 1925
