V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
64 76 98 33 84 33 99 49 74 83
57 88 97 57 59 52 99 70 83 80
65 39 79 93 47 30 95 93 71 39
83 77 64 63 59 83 90 52 65 32
45 60 74 67 92 38 69 57 66 59
52 79 49 45 49 65 86 53 61 42
66 39 79 30 35 68 72 91 52 59
68 53 90 91 77 93 89 56 34 64
68 72 44 45 44 80 86 82 33 39
50 56 48 95 70 34 55 59 84 73
63 43 93 50 46 79 94 37 56 76
83 44 88 97 69 67 93 93 98 96
64 78 90 62 89 64 71 63 97 94
53 71 84 99 73 61 79 31 33 51
88 39 68 70 91 76 73 97 96 36
89 37 96 80 87 61 33 87 42 32
57 84 79 76 49 63 96 52 62 65
55 86 35 99 81 97 59 51 74 44
53 95 95 31 97 99 78 53 32 39
68 57 37 58 96 53 77 47 36 45
